entry_id,headword_kin,pronunciation_kin,synonym_kin,english_terms,french_terms,domain,definition_kin,source_title,source_page,source_year,review_status,notes
rcha-it-000017,Agashusho ndanga,agashusho ndaanga,,Icon,Icône,Ikoranabuhanga rya mudasobwa.,"Ishusho igaragara ku ndebero ya mudasobwa ikerekana inkoranabuhanga ikoreshwa, igikoresho nkoranabuhanga cyangwa indi nshoza cyangwa imiterere yihariye ifite icyo isobanuye ku muntu ukoresha mudasobwa.",Inkoranyamuga y'ikoranabuhanga,11,2026,auto_parsed,
rcha-it-000018,Agatabo ka aderesi,agatabo kaa adereêsi,,Adress book,Carnet d'adresses,Ikoranabuhanga rya murandasi.,Urutonde rwa aderesi za imeri zose ukoresha kenshi.,Inkoranyamuga y'ikoranabuhanga,11,2026,auto_parsed,
rcha-it-000019,Agatemberezo,agateemberezo,,Slider | Trackbar,Barre de défilement,Ikoranabuhanga rya murandasi.,"Akantu gakoreshwa mu kugenda wihuse ku rupapuro mu byerekezo byose by’indebero, kakereka ukoresha mudasobwa aho ari bushyire icyo ashaka kongera mu byo yandika cyangwa yakoraga kuri urwo rupapuro cyangwa aho icyo ashaka gukora kiri bukorerwe, gakunda. kuba kari mu isura ry’ikiganza cyangwa ikimenyetso cyo guteranya ku makarita.",Inkoranyamuga y'ikoranabuhanga,12,2026,auto_parsed,
rcha-it-000020,Agatende k’imbeba,agateênde k’îmbeba,,Stroll wheel | scroll wheel,Molette de défilement,Ikoranabuhanga rya mudasobwa.,"Akagurudumu kaba ku mbeba ya mudasobwa kakagira umumaro wo kuzamura cyangwa kumanura ifishiye, akenshi gakoze muri pulasitiki ikomeye iriho agakawucu, kakaba hagati y’imfatamakuru mwikarago iri mu mbeba.",Inkoranyamuga y'ikoranabuhanga,12,2026,auto_parsed,
rcha-it-000021,Ahabanza,ahabâanza,,Home page | homepage | start page,Page d'accueil,Ikoranabuhanga rya murandasi.,"Urukuta (ipaji) rubanza ku rubuga, aho urusuye agomba kunyura, bigafasha kwereka urusuye aho yanyura bitewe n’ibyo akeneye.",Inkoranyamuga y'ikoranabuhanga,12,2026,auto_parsed,
rcha-it-000022,Ahagera ihuzanzira,ahagêra ihuuzanzira,,Network Coverage | Internet coverage | coverage,Couverture Internet,Ikoranabuhanga rya murandasi.,"Ahantu hose hagerwa n’ihuzanzira n’indi miyoboro ya murandasi, bikagaragazwa n’ingano y’abantu bashobora kubona no kwakira uburyo bw’ihuzanzira kuri telefoni zabo cyangwa mudasobwa.",Inkoranyamuga y'ikoranabuhanga,12,2026,auto_parsed,
rcha-it-000023,Ahaherereye amakuru,ahahêreereye amakurû,,Location,Emplacement,Ikoranabuhanga rya mudasobwa.,"Ahantu hashobora gusobanurwa hifashishijwe ibisobanuro byanditse ari byo imibare y’inyabubiri, hakarangwa no kugira indanga, korohereza ibika ry’amakuru cyangwa kuyabona.",Inkoranyamuga y'ikoranabuhanga,12,2026,auto_parsed,
rcha-it-000024,Ahandikwa,ahaândikwa,,Text window,Fenêtre,Ikoranabuhanga rya mudasobwa.,"Akadirishya ko mu rwungano rushushanya kuri mudasobwa, gashyirwamo amagambo mbere yo kuyajyana aho agenewe.",Inkoranyamuga y'ikoranabuhanga,13,2026,auto_parsed,
rcha-it-000025,Ahandikwa ku ifoto,ahaândikwa ku iifoto,,Text box,Zone de texte,Ikoranabuhanga rya mudasobwa.,"Uruganiriro rushyirwa ku ishusho cyangwa ifoto (GUI) haba hameze nk’urukiramende, hashobora kwimurwa cyangwa guhindurirwa ingano, hagakoreshwa mu kwandikamo, guhindura ibyanditse cyangwa kwerekana inyandiko, bigafasha abakoresha mudasobwa gukorana n’inkoranabuhanga cyangwa urubuga rwa mudasobwa umuntu yandika inyandiko, ayishyiraho cyangwa akaba yayisoma.",Inkoranyamuga y'ikoranabuhanga,13,2026,auto_parsed,
rcha-it-000026,Akabikamuriro,akabiikamuriro,,Capacitor,Condensateur,Ikoranabuhanga ry’imiraba.,"Agakoresho ko mu ikoranabuhanga kakira gusa, gakoreshwa mu kubika igihe gito amashanyarazi, kakagira ahantu hashashe habiri ntwaramashanyarazi hatandukanywa n’inkumiramashanyarazi (ibumba, purasitiki,…).",Inkoranyamuga y'ikoranabuhanga,13,2026,auto_parsed,
rcha-it-000027,Akadege,akadeêge,,Airplane Mode | Flight mode,Mode avion,Itumanaho koranabuhanga.,"Uburyo bw’imikorere y’igikoresho gitotoniki, twavuga nka telefoni, aho icyo gikoresho kitajya ku ihuzanzira nziramugozi, bityo ntigishobore kohereza cyangwa kwakira amakuru (guhamagara, ubutumwa), ndetse ntigishobore gufata murandasi arikoi kikaba gishobora gukomeza gukoreshwa ku bundi buryo.",Inkoranyamuga y'ikoranabuhanga,13,2026,auto_parsed,
rcha-it-000028,Akadirishya rugo,akadîrishyâ rugô,,Another added tab,Onglet Accueil,Ikoranabuhanga rya mudasobwa.,Ahantu ubanziriza kuri mudasobwa harimo ibikoresho by’ibanze byo guhindura no gutunganya inyandiko.,Inkoranyamuga y'ikoranabuhanga,13,2026,auto_parsed,
rcha-it-000029,Akagege,akageege,,Rack,Bai,Ikoranabuhanga rya mudasobwa.,Akantu gashyirwaho za mugabuzi cyangwa ibindi bikoresho by’ihuzanzira akenshi karangwa no kugira imyanya igerekeranye.,Inkoranyamuga y'ikoranabuhanga,14,2026,auto_parsed,
rcha-it-000030,Akamashini kishyurirwaho,akamâshiîni kiishyûrirwahô,,Payment terminal | Card machine | Credit card machine,Terminal de paiement électronique,Ikoranabuhanga ry’imari.,Igikoresho cyifashishwa mu bucuruzi mu kwishyura mu buryo bw’ikoranabuhanga no gukora ibikorwa bya serivisi za banki.,Inkoranyamuga y'ikoranabuhanga,14,2026,auto_parsed,
rcha-it-000031,Akamenyesha,akamenyeesha,,Alert Dialog Box | Dialog box | Alert Box,Boîte de dialogue d'alerte | boîte de dialogue | boîte d'alerte | boîte de message,Ikoranabuhanga rya mudasobwa.,"Akadirishya kizana ku ndebero kugira ngo kakumenyeshe ko mudasobwa yawe yenda kugira icyo ikora gishobora kugira ingaruka zangiza, bityo ukaba ugomba guhitamo ikigomba gukorwa ari cyo kuyemerera cyangwa kuyihakanira.",Inkoranyamuga y'ikoranabuhanga,14,2026,auto_parsed,
rcha-it-000032,Inyoboranyandiko,inyoboranyandiko,,Text cursor,Curseur de texte,Ikoranabuhanga rya mudasobwa.,"Ingaragaza ihumbaguza, igaragara ku ndebero, ikagaragaza aho inyandiko yandikwa, ihindurwa cyangwa yongerwamo ikintu.",Inkoranyamuga y'ikoranabuhanga,14,2026,auto_parsed,
rcha-it-000033,Ihuzanzira nziramugozi rya hafi,ihuuzanzira nzîramûgozî ryaa hâafi,,Wireless local area network (WLAN) | wireless LAN,Réseau local sans fil,Ikoranabuhanga rya murandasi.,"Umuyoboro wa murandasi udakoresha umugozi ahubwo ukoresha amajwi ya radiyo, ugahuza za mudasobwa cyangwa ibindi bikoresho bihuriye ku nzira imwe hakoreshejwe amajwi aho hafi nko mu nzu, mu ishuri, muri raboratwari ya mudasobwa, ikigo cya kaminuza cyangwa mu nyubako yagenewe ibiro.",Inkoranyamuga y'ikoranabuhanga,15,2026,auto_parsed,
rcha-it-000034,Akazamuriro,akazaamuuriro,,Scroll bar,Barre de défilement,Ikoranabuhanga rya mudasobwa.,Akarongo gashyirwa mu ruhande rwa mudasobwa kerekana uko ukoresha mudasobwa ari kuzamura cyangwa se amanura urupapuro rwe.,Inkoranyamuga y'ikoranabuhanga,15,2026,auto_parsed,
rcha-it-000035,Akugara,akûugaarâ,,Diaphragm,Diaphragme,Ikoranabuhanga ry’amajwi.,Akantu kizengurukije gashobora kwikunja kaba mu ndangururamajwi cyangwa mu muzindaro kagatuma byirangira bigatanga amajwi yumvikana kurushaho.,Inkoranyamuga y'ikoranabuhanga,15,2026,auto_parsed,
rcha-it-000036,Amabwiriza agenga ukugera ku makuru,amabwiîriza agêenga ukugera ku makurû,,Access control protocol | controlled access protocol,Protocole d'accès contrôlé,Ikoranabuhanga rya mudasobwa.,"Ikintu shingiro mu mutekano w’amakuru, kigena ufite uburenganzira bwo kugera ku makuru no ku mutungo w’ikigo no kubikoresha.",Inkoranyamuga y'ikoranabuhanga,15,2026,auto_parsed,
rcha-it-000037,Amabwiriza nyoborantima,amabwiîriza nyôborantîma,,Microinstruction,Micro-instruction,Ikoranabuhanga rya mudasobwa.,"Itegeko rya mudasobwa rikoresha imiyoboro ikenewe kugira ngo habashe gukorwa igikorwa kimwe cy’umurimo wa mudasobwa, cyane cyane mu gihe hakorwa itegeko ryo mu rurimi rwa mashini.",Inkoranyamuga y'ikoranabuhanga,16,2026,auto_parsed,
rcha-it-000038,Lightweight directory access protocol,LDAP,,"Tripod,",Protocole d'accès léger aux répertoires. Ikoranabuhanga rya mudasobwa,Ikoranabuhanga ry’amashusho.,Amabwiriza mashya agenga imitangire ya serivisi ziboneka kuri murandasi. Amaguru ya kamera (amaguru ya kamera),Inkoranyamuga y'ikoranabuhanga,16,2026,auto_parsed,
rcha-it-000039,Amajwi ya mudasobwa,amajwî ya mûdasobwâ,,Computer audio | audio,Audio informatique | audio,Ikoranabuhanga rya mudasobwa.,"Ihindura mu mibare, isesengura, ibika n’isomwa ry’amajwi hakoreshejwe urwungano koranabuhanga.",Inkoranyamuga y'ikoranabuhanga,16,2026,auto_parsed,
rcha-it-000040,Imbonwa,imbonwâ,,Data | Digital content,Données | contenu digital,Ikoranabuhanga rya mudasobwa.,Ibishobora kuboneka uko byaba biteye kose hakoreshejwe ikoranabuhanga.,Inkoranyamuga y'ikoranabuhanga,16,2026,auto_parsed,
rcha-it-000041,Amakuru bwite,amakurû bwiitê,,Personal data,Données à caractère personnel,Ikoranabuhanga ndangamuntu.,"Amakuru ayo ari yo yose yerekeye ufatika uriho uzwi cyangwa ushobora kumenyekana, haba ku bijyanye n’indanga mbonera (amazina, inomero ndangamuntu) cyangwa indanga nziguro (aderesi yihariye kuri murandasi, indanga ya kuki, amakuru ndangahantu) bifasha gutahura umuntu uwo ari we cyangwa kumenya aho akerereye.",Inkoranyamuga y'ikoranabuhanga,17,2026,auto_parsed,
rcha-it-000042,Amakuru bwite yigengeserwa,amakurû bwiitê yiigêengeseerwa,,Sensitive personal data,Données à caractère personnel,Ikoranabuhanga ndangamuntu.,"Amakuru agaragaza isanomuzi y’umuntu, uko ubuzima bwe buhagaze ko yafunzwe cyangwa atafunzwe, dosiye ye yo kwa muganga, inkomoko ye mu muryango, imyemerere ye ishingiye ku idini cyangwa ku mitekerereze, ibitekerezo bye bya politiki, amakuru ndangasano cyangwa ay’imiterere ye, ay’ubuzima bw’imibonano mpuzabitsina cyangwa umwirondoro w’umuryango.",Inkoranyamuga y'ikoranabuhanga,17,2026,auto_parsed,
rcha-it-000043,Amakuru inzovu,amakurû inzovu,,Big data,Mégadonnée,Ikoranabuhanga rya mudasobwa.,Amakuru aremereye ashobora gufata umwanya munini ku bubiko bwa mudasobwa ndetse no mu gihe cyo kuyahererekanya bigafata umwanya munini bitewe n'imiterere y'ayo makuru.,Inkoranyamuga y'ikoranabuhanga,17,2026,auto_parsed,
rcha-it-000044,Amakuru ndangamiterere,amakurû ndâangamîteêrere,,Biometric data,Données biométriques,Ikoranabuhanga ndangamuntu.,"Ibiranga umuntu bikubiyemo ifoto igaragaza mu maso, ibikumwe n’ishusho y’imboni.",Inkoranyamuga y'ikoranabuhanga,17,2026,auto_parsed,
rcha-it-000045,Ihuzanzira ry’amayinite,ihuuzanzira ry’âmayinite,,Mobile data | Cellular data,Donnée mobile,Itumanaho koranabuhanga.,Amakuru yoherezwa cyangwa yakirwa atangiwe kuri telefoni ku buryo bw’inziramugozi telefoni idahujwe na WI-FI ahubwo ikoresheje amayinite yaguzwe.,Inkoranyamuga y'ikoranabuhanga,17,2026,auto_parsed,
rcha-it-000046,Amakuru ateguriwe ubwenge buhangano,amakurû atêguuriwe ubwêenge buhaangano,,AI-ready data,Données prêtes pour l'IA,Ubwenge buhangano.,"Amakuru yakusanyijwe neza, agasukurwa, agashyirwaho ibisobanuro (labels), kandi agatunganywa mu miterere ikwiriye ku buryo ashobora gukoreshwa byoroshye mu",Inkoranyamuga y'ikoranabuhanga,17,2026,auto_parsed,
rcha-it-000047,Amakuru rusange,amakurû rûsaânge,,Non-personal data,Données non personnelles,Ikoranabuhanga rya mudasobwa.,Amakuru yose adafite aho ahuriye n’umuntu tuvuge nk’amakuru y’iteganyagihe.,Inkoranyamuga y'ikoranabuhanga,18,2026,auto_parsed,
rcha-it-000048,Amakuru ya mudasobwa,amakurû ya mûdasobwâ,,Computer data,Données informatiques,Ikoranabuhanga rya mudasobwa.,"Inyandiko, imibare, amafoto, amajwi, videwo n’ibindi bintu bibikwa, bitunganywa cyangwa bikoherezwa hakoreshejwe sisitemu ya mudasobwa.",Inkoranyamuga y'ikoranabuhanga,18,2026,auto_parsed,
rcha-it-000049,Amakuru yigengeserwa,amakurû yiigêengeseerwa,,Sensitive Data,Données sensibles,Itumanaho koranabuhanga.,"Amakuru agaragaza amakuru bwite cyangwa ay'ingenzi nk'ubuzima, imyizerere cyangwa ibitekerezo bya politiki.",Inkoranyamuga y'ikoranabuhanga,18,2026,auto_parsed,
rcha-it-000050,Amakuru yo mu muyoboro w’itumanaho,amakurû yô mu muyoboro w’îitûmanahô,,Network Data,Données-réseau,Ikoranabuhanga rya murandasi.,Amakuru ateguwe ku buryo agaragaza ihuzanzira cyangwa amasano ari hagati ibikoresho.,Inkoranyamuga y'ikoranabuhanga,18,2026,auto_parsed,
rcha-it-000051,Amasezerano koranabuhanga,amaseezerano kôranabûhaânga,,Smart contract,Contrat intelligent,Ikoranabuhanga rya mudasobwa.,Ubwumvikane hagati y’abantu babiri cyangwa ibigo bibiri ku buryo mbonezamikorere bwa mudasobwa bugenwe ku buryo y’iyo mudasobwa yikoresha hagati yabyo hatagize undi wa gatatu uzamo kandi igisubizo kikaba cyizewe ko ari cyo.,Inkoranyamuga y'ikoranabuhanga,18,2026,auto_parsed,
rcha-it-000052,Videwo mbonankubone,videwo mbônankûbonê,,Live video | livestream,Vidéo en direct,Ikoranabuhanga rya mudasobwa.,Uburyo bwo gusakaza amashusho mu gihe nyacyo.,Inkoranyamuga y'ikoranabuhanga,19,2026,auto_parsed,
rcha-it-000053,Amayinite,amayinite,,Airtime credit | Prepaid mobile plan | Mobile airtime | Airtime payment | Airtime charge,Crédit de communication | credit | temps d'antenne,Ikoranabuhanga rya mudasobwa.,Uburyo bwahanzwe bw’amafaranga akoreshwa kuri telefoni aho umuntu atanga amafaranga agahabwa igihe cyo kuvugira kuri telefoni ye.,Inkoranyamuga y'ikoranabuhanga,19,2026,auto_parsed,
rcha-it-000054,Anteni,anteêni,,Antenna | Aerial,Antenne,Itumanaho koranabuhanga.,"Ikoranabuhanga ryifashishwa mu kwakira cyangwa kohereza imiraba y’itumanaho nk’iya radiyo, televiziyo, telefoni zigendanwa, murandasi cyangwa itumanaho nziramugozi.",Inkoranyamuga y'ikoranabuhanga,19,2026,auto_parsed,
rcha-it-000055,Anteni nyabyerekezo,anteêni nyabyêerekezo,,Omnidirectional antenna,Antenne omnidirectionnelle,Itumanaho koranabuhanga.,Ubwoko w’anteni yakira imiraba nsakazamakuru ituruka mu byerekezo byose.,Inkoranyamuga y'ikoranabuhanga,19,2026,auto_parsed,
rcha-it-000056,Anteni nyacyerekezo,anteêni nyacyêerekezo,,Unidirectional antenna,Antenne Unidirectionnelle,Itumanaho koranabuhanga.,Ubwoko w’anteni yakira imiraba nsakazamakuru ituruka gusa ku cyerekezo yerekejweho.,Inkoranyamuga y'ikoranabuhanga,19,2026,auto_parsed,
rcha-it-000057,Anteni y’icyogajuru,anteêni y’îcyoogajuru,,Satellite antenna,Antenne satellite,Itumanaho koranabuhanga.,"Igikoresho gishyirwa hanze cyangwa hejuru y’inzu kugira ngo gihure n’umuraba w’icyogajuru mu kirere, kikakira cyangwa kigashyira hanze ibimenyetso by’itumanaho.",Inkoranyamuga y'ikoranabuhanga,20,2026,auto_parsed,
rcha-it-000058,Anteni y’icyogajuru y’umweru,anteêni y’îcyoogajuru y’ûumwêeru,,White Satellite Antenna,Antenne Satellite Blanche,Itumanaho koranabuhanga.,"Ubwoko bw’anteni y’igisahani ifite ibara ry’umweru ikoreshwa mu kwakira no kohereza imiraba y’itumanaho hagati y’Isi n’icyogajuru cy’itumanaho kiri mu kirere, ku buryo ibasha kwihanganira ubushyuhe bwinshi n’imihindagurikire y’ikirere.",Inkoranyamuga y'ikoranabuhanga,20,2026,auto_parsed,
rcha-it-000059,Anteni y’icyogajuru yo ku butaka,anteêni y’îcyoogajuru yô ku butaka,,Earth station antenna | Ground satellite antenna,Antenne de station terrestre | Antenne satellite terrestre,Itumanaho koranabuhanga.,Ubwoko bw’anteni nini iba ku butaka yakira kandi ikohereza imiraba y’itumanaho hagati yayo n’icyogajuru kiri mu kirere.,Inkoranyamuga y'ikoranabuhanga,20,2026,auto_parsed,
rcha-it-000060,Anteni y’ikidasesa,anteêni y’ikîdâsêesâ,,Satellite dish antenna | Parabolic antenna,Antenne Parabolique,Itumanaho koranabuhanga.,"Ubwoko bw’anteni ifite ishusho nk’iyisahani ishyirwa hanze y’inzu cyangwa ku nkingi, igakoreshwa mu kwakira no kohereza imiraba nsakazamakuru hagati y’ibikoresho by’itumanaho n’icyogajuru kiri mu kirere, ishobora kwakira cyangwa kohereza ibimenyetso nsakazamakuru bya radiyo mu buryo bw’uruhande rwose, bivuze ko itayobora ku cyerekezo kimwe gusa.",Inkoranyamuga y'ikoranabuhanga,20,2026,auto_parsed,
rcha-it-000061,Anteni y’udushami,anteêni y’ûdushâmi,,Directional antenna | Yagi antenna,Antenne directionnelle | antenne Yagi,Itumanaho koranabuhanga.,"Igikoresho mfamajwi cyangwa amashusho gifite utwuma tugishamitseho gishyirwa ku cyerekezo runaka kugira ngo kiyobore cyangwa gikomeze ibimenyetso mu cyerekezo kimwe gusa, aho kuba mu mpande zose.",Inkoranyamuga y'ikoranabuhanga,20,2026,auto_parsed,
rcha-it-000062,Antivirusi,antivirûusi,,Antivirus software | antivirus | anti-virus | AV,Logiciel antivirus | antivirus,Ikoranabuhanga rya mudasobwa.,"Ubwoko bw’inkoranabuhanga ikoreshwa mu gukumira, gushakisha, gutahura no gusiba virusi muri mudasobwa.",Inkoranyamuga y'ikoranabuhanga,21,2026,auto_parsed,
rcha-it-000063,Bando,baandô,,Bundle | Packet,Paquet,Ikoranabuhanga rya mudasobwa.,Indundo y’amayinite akenewe kugira ngo ukoreshe murandasi.,Inkoranyamuga y'ikoranabuhanga,21,2026,auto_parsed,
rcha-it-000064,Banki koranabuhanga,baânki kôranabûhaânga,,"Digital Banking | Electronic Banking | E-Banking, Online Banking",Banque numérique | Sytème bancaire électronique | banque à distance,Ikoranabuhanga ry’imari.,"Gukoresha mudasobwa, telefoni zigendanwa, imashini za ATM cyangwa murandasi mu gukora ibikorwa bya banki utiriwe usura ishami rya banki.",Inkoranyamuga y'ikoranabuhanga,21,2026,auto_parsed,
rcha-it-000065,Banki ngendanwa,baânki ngeendânwa,,Mobile banking,Banque mobile,Ikoranabuhanga ry’imari.,Igikorwa cyo gukora ibikorwa by’imari hifashishijwe ibikoresho bigendnwa nka telefoni.,Inkoranyamuga y'ikoranabuhanga,21,2026,auto_parsed,
rcha-it-000066,Bayiti,bayîti,,Byte,Octet,Ikoranabuhanga rya mudasobwa.,"Urukurikirane rw’imyanya nyantera ifite umumaro wo gushyirwamo amakuru nk’amashusho, amajwi cyangwa uruvange rw’ibitangazwa, ikagira agaciro ku ipaji ka zeru (0), umwanya nyantera ugizwe n’imyanya nkoranabuhanga 8.",Inkoranyamuga y'ikoranabuhanga,21,2026,auto_parsed,
rcha-it-000067,Biti nyabubiri,biîti nyabûbiri,,Dibit,Dibit,Ikoranabuhanga rya mudasobwa.,"Itsinda rya bibiri rifatwa nk’ikintu kimwe, kuko nyakamwe ya bayiti ingana na 0 cyangwa 1 habaho uburyo bune ari bwo 00, 11, 01 na 10 buboneka hahereye kwikurikiranya rya za nyakamwe ari zo 00, 01, 10 na 11.",Inkoranyamuga y'ikoranabuhanga,21,2026,auto_parsed,
rcha-it-000068,Bodi,boôdi,,Baud,Baud,Ikoranabuhanga rya murandasi.,Igice cyo gupima umuvuduko w'ibimenyetso cyangwa umubare w'impinduka zidasanzwe mu kimenyetso kuri buri sogonda.,Inkoranyamuga y'ikoranabuhanga,22,2026,auto_parsed,
rcha-it-000069,Imfungamibare,imfûungamîbarê,,Num Lock key | Num Lock,Touche de verrouillage numérique,Ikoranabuhanga rya mudasobwa.,Akamenyetso kaba ku rubaho rwa mudasobwa kifashishwa mu guhinduranya ibimenyetso mu mibare.,Inkoranyamuga y'ikoranabuhanga,22,2026,auto_parsed,
rcha-it-000070,Imfungamudasobwa,imfuungamûdasobwâ,,Close button,Bouton de fermeture,Ikoranabuhanga rya mudasobwa.,"Akabuto kaba kuri porogaramu cyangwa ku idirishya, gakunzwe kugaragazwa n’inyuguti “X”, gakoreshwa mu gufunga idirishya, agasanduku k’ikiganiro cyangwa porogaramu.",Inkoranyamuga y'ikoranabuhanga,22,2026,auto_parsed,
rcha-it-000071,Buto yo gucapa,buto yô gucapa,Incapisho (incapiisho); buto yo gusohora (buto yô gusohora).,Print button,Bouton Imprimer,Ikoranabuhanga rya mudasobwa.,Akantu ko kuri mucapyi gatangiza igikorwa cyo gusohora inyandiko.,Inkoranyamuga y'ikoranabuhanga,22,2026,auto_parsed,
